,M,"	Okay, there you go. So that's recording now. Alright, so let's just begin with your first move to Canada. When did you first move to Canada?"
48,M,"	So if if that's done, then we can move on to the next. So let me let me just ask you about the most challenging aspects of your migration journey throughout. So pretty much everything that you've written so far. Okay, let's circle the most challenging or the biggest obstacles that you faced or mark them however you like."
49,Mi,"	So, of course the work permit and PNP part. This is the first one.  I'm mixing the colors because just to be just a little more visible. This is the second. This is third. This is 4th. This is for because that's the last stage. I had not much doubt about certain things and I wouldn't want to include Austria because that was a different kind of category. So, for this one [work permit] the most challenging one was uncertainty, the Psychological part, whether you will get it or not. So heres the same [PR], I would say, the psychological factor whether you'll be able to obtain this is the PR or your status or not. So, the PNP and as well as the PR process, it is so connected, interconnected. So, it is hard to, to differentiate from one to each other in terms of psychological. You still feel the stress level. Here just basically you’re in a situation that is your fingers are crossed and you’re just waiting. Can I just make a correction? T his is 2011.  So, the process was, I mean, the PR process was not that long, because each province has different responses. If you're in Ontario, at that time, the process took longer. But in promises like my intro by Saskatchewan, I think the number of applicants, one of the main reasons, is more low compared to the Ontario or bigger provinces as BC. But I think it took two years, two and a half years after I applied for PR. I was on work permit and I had to work in the same employer, even though I got some opportunity to explain that to you. So that was the painful part. In daily basis, let's say you have the moments that you really don't think that this job is not a good fit for you and you have an alternative, but you cant evaluate that alternative because of your complicated situation, status situation. So that was really difficult. And this one was just that just the duration because I think lately what I heard the processing times are getting longer and longer. Yeah, even the Canadian citizenship. So I would just say I think that the duration of the process. This one is more more psychological rather than psychological. It's more….it is kind of psychological but it is more of a, because the cultural fit is gonna to be there or not?. So I would say unknown or uncertainty. Sure, cultural connectivity? I don't know if I just put it in the right way, but yes, there's the uncertainty of cultural connectivity. So, Which means will you have a culture shock? Or Is it the right decision? What is expected of me? What kind of difficulties I will face? It is kind of routing to cultural connectivity still. Let's say it my first year in Canada. So that's going to give you an idea. Yeah. So, I'm gonna put it in the behind, okay. First one year. So, again, we're going to rely on our fancy graphs. This is let's say, time. For the sake of me just try to figure it out because I need time and satisfaction? slash engagement. So, of course the first six months, there's a rapid increase because everything is new, you wanna explore everything. You're not getting homesick. From zero all the way up. Even though I was new, the climate was challenging, but everything was new and I'm a person - If I fail or if I just don't let certain things. I'm not a person that I used to blame myself about my choices, but I don't do that anymore. Because you never know without trying. But after six months there’s a dip. You start to feel homesick, criticism on certain things which is comparing traditions. I put criticism here because it might be sometimes rough, especially in my age at that time, It was hard for me - rather than accepting I was criticizing, And it turned to a comparison. Like why! I was criticizing mostly the lifestyle because in Turkey our lifestyle is more laid back. Not into this is a modern capitalist way of melting our lives in. For example, first time in my life I saw a drive through. I had never seen a drive through. Just sit down - you enjoy your meal you have a nice conversation you take you take your time and you actually give the value to the food. Again this is just the the comparison, the personal comparison for the food – the food itself, and the food culture and how do you value the food. And the advantage part of Toronto, which I didn't have the advantage that much in Winnipeg, like, there are tons of different restaurants that represents different cultures, different cuisines. And then questioning, pros and cons of staying. And then it stopped. The reason that it stopped and it's a more stable line, because first of all, you're making a decision. This time, and also it doesn't the decision that you make it is not helping you to increase the satisfaction level but at the same time you're accepting the situation. It's more like an acceptance rather than making plans. So the program itself that the PNP or other programs, it's not a satisfactory and you know the pros and cons pretty much by reading it, by hearing from other people's experiences, how it takes such a long time to invitation and all that. But by accepting the fact that if you really want to stay, and this is the route, take it or leave it. So that's why you somewhat, your plans are becoming more concrete but at the same time, it is helping you to go up or down, it is more like stable. So I think the first year is really important. That's why I just wanted to evaluate this year. And plus, it's easy to remember. That's why I don't want to go further about  second, third etc.. But I think this will be helpful to understand my first year experience."
50,M,	I suppose the final set of things that I want to ask you about generally broadly and maybe part of your mouth This is just questions. Have you provided migration advice to anybody? migration? What advice do you provide migration advice to people if they ask you? 
51,Mi,"	I do. I do. I had, especially after 2015 coup attempts in Turkey. Turkey is highly polarized. And the young professionals I mean, young professional friends, that which they have skills. I wouldn't want to name it low skilled\high skilled school because that's the comparison what Canada does but I would say skilled. I value all the workers in a different sense. As you can imagine, that's I just done different kinds of jobs within sectors. There's no low skills or high skills. They are just skills. You just have the skills and you can reflect it to certain things. So, my friends were asking about what are the pros and cons of the immigration to Canada? So, my answer was, I kind of wanted to get away from giving a solid answer. I don't want to mislead people. But one thing that I was just sure making them understand the situation and then the process. I said the first thing, it's not easy. It will never be easy in the in the short run, and hopefully things will change in the long run, but and I said, Okay, depending on their age, I was asking them you need to sacrifice certain things and these things are family, these things are the job that you might not integrate your skills very well. And you have to maybe work, you might have to work in different kind of sector, different kind of jobs. And you might have to get used to a different culture, the food itself, not just the food, even the communication level of people. And something that you get used to that back home that maybe it's intimate, maybe that will be offensive to different business. So, you might have to get yourself into certain situations that, it's a huge sacrifice. And you only live once. If you're looking from this perspective, is that worth it? I mean, you have to just ask yourself this question, instead of asking me that, is that worth it? So these are the things these are the tools that I'm giving it to you. If you're asking details, I can provide you the details and I can give you the certain links that you can use search for your research. But yeah, I rather just reflect the question back. These are the things that you should expect if you come here, give or take. So, are you ready? Are you ready to sacrifice?. And then their enthusiasm level is going down and they're like, okay, I better maybe dig deep and take a look at it. And I'll get back to you if I need some sort of advice from you. And they typically don't get back to me. I'm not sure if I do the right thing or wrong thing, but I just want people to understand that this is not something like you’re ready for a backpacking trip. And you should understand that once they come here, they come here with certain burdens, financial burden on their shoulder, maybe they sell their car, their house, it's a big change. So, who am I to actually tell people that, yeah, you should come to Canada, you're going to be wealthy or rich, Canada is waiting for you. No, they need to be aware. So that's why I'm being so cautious when I'm giving them direction. I wouldn't call it giving them direction, I would call them just putting everything on one basket and making sure that the knowledge basket is full and they're picking the one that they need. So, I don't want to give the wrong direction. Because there's no wrong or right direction. It's everybody's own direction. So that's why I'm being really careful. But answering your question. Yes, time to time and they're asking me those questions. For education, it's a different aspect. I definitely endorse the education. I'm just telling them, look either for or learning a new language or if you want to get the post-secondary. If you want to get the post graduate experience, it's worth it. It's worth it. Because of these these reasons, yeah. But if you're just purely about to come to Canada, just for immigrating or settling, it's not easy. It's a long process. So, take the baby steps and think about it. "
52,M,"	okay, and what are your next steps?"
53,Mi,"	One thing that I really like to do is when you are so connected with the work environment in Canada and you just have some other priorities to settle and earn, you let go of certain things like traveling, or participating in certain things because it all comes with the certain financial requirements, right?. So, first of all I want to value give the value to it. I want to enjoy what's actually in Canada. That's one part and… but before that I want to finish my, my school. I want to get my degree and I would like to concentrate on how I can fit myself into either academic environment. Or, as I told you working in a meaningful NGO that I can actually put my skills, learn more, gain more, give more. So that's my goal. Specifically, for Canada. Yes, I would like to live in this country. This country is great. I mean, but the experiences are great because we cannot blame either people or culture or physical things. The system has so many missing points. We all agree with it and officials agree with it especially after post 911 they increase securitization and migration regimes, border regimes and everything. It got to a point that stereotyping is so easy, visualization so easy. Unfortunately, as we talked before, taking part in, in in certain environments is not that easy, because there are certain barriers, especially workplaces diversity wise. Yes, yet, compared to other countries Canada is well diverse, but we have to actually fulfil this diversity as we talked before, so that's why I just really want to want to be …want to access certain things that I can fulfil my desires. At the same time I would like to have a good network in here that, which I've already started and I'm building that out which is good to take it to the next level but I cant just commit myself either living in Canada entire my life for going back to Turkey. I cant commit to this because you never know. You never know but I certainly think that there are so many opportunities here that I can take. And in the short run, and between the short and long run, I will definitely see myself I see myself to leave here and take advantage of everything but this is life as as my time being the gap between 2015 and 16. Sometimes things happen and life taught me that. Even though your desire is to be here, sometimes the circumstances put you in that spot. But in normal circumstances, yes, this country can give so much and I can also give so much that this country has got. "
54,M,	But what about life goals as well? Like do you want to get married or buy a house?
55,Mi,"	I think buying a house doesn't make sense, especially this in this. Yes, in this market prices. It doesn't make sense but of course in the future. But again, to to give to sacrifice so much from your life, to make a property meaningful, I think it doesn't make sense to me. I mean, the condition that the mortgage is important. I see some people that they are working for the mortgage for their entire life, but you only be once. How does that make sense? Instead maybe depending on the circumstances maybe buying your land and building my own house that's more meaningful. But again, it depends. So, of course, I would like to get married, again that the marriage meeting that doesn't mean a certificate. Just to get connected with someone forever, because I know some people that they are actually married in paper, but they're not connected. So, living separate lives. I don't want that type of relationship. So, it shouldn't be based on satisfying sexual needs. It should be based on connectivity, chemistry, and you should have your own space at the same time, which means we need to respect each other's space and also share and build something together."
56,"Toronto is not a good place for romance. We can meet so many new people, so many girls. But I think the connectivity is missing? Everybody's excuses is I'm busy. That's one thing. But other than that, I think this is a place that people living life most likely casually. I mean, casual relationships. That's what I mean. So that's why it's easy to meet new people, but it's not easy to provide the sustainability.",
57,M,	And how do you meet people?
58,Mi,"	I used to meet people that were that was at the birthday parties or events. Also, like occasional because I'm really open to talk every single person, it doesn't mean that. You know, you're asking for a date or something. But yeah, definitely, just uh, I don't think that the using the online tool Is this helpful. I tried five years ago, but it wasn't working, the online dating. It's so shallow and because you already… I'm not sure how to… I'm sure there's a sociological pathway behind it. But first of all, you're judging them by physical attributes. That's how you say yes. I think so not so many people reading the profile descriptions of that specific person. And when you meet there's a certain shy border and there's no uniqueness. Because everything is all structured. I think there was a documentary in Netflix about this, this topic. It was actually I'm just trying to remember the name of it. Black Mirror. There was an episode that. So that's a good one. "
59,M,"	Alright, cool. So now the final question final. I'm looking at your map. What do you feel?"
60,Sh,	In 2018 February. And this is a permanent residency visa. 
61,M,	What were the motivations behind your migration here? Like what were the main factors you considered in making this decision? 
62,Sh,"	I think the main attraction was that they were giving a permanent residency like I was a US on work visa. To get a green in US for Indian National…according to some timelines, it's gonna take like 150 years. Yeah. So I can explain you why is that but that was the main reason. I would have never got a green card in US. So Canada was giving permanent residency easily so that’s the reason I moved here. So they have a country wide quota. They give green card from a pool of 7% of  the population from a particular country. So because India has a huge population, their dates are like...So, they are still giving green cards to people who applied in 2008-2009 from India, but for other countries like Pakistan, Nepal ,and Sri Lanka, they get it in one to two years. So that’s the flawed system that they have, especially Indian, Chinese and Filipinos are the most affected because of the number of people applying. So they have a cap of 7%.. So 7% of the green cards – they will give to a particular country. So that’s where the challenge is. "
63,M,"	So how I mean…What's the difference between US and Canada? I mean, do you feel the difference?"
64,Sh,"	So there is a difference. In the US, the salaries are much higher, much higher than Canada. It's like less expensive there because of the city that we were living in but generally the taxes are less. So I would say the health care expensive there. But otherwise everything is cheaper compared to Canada. "
65,M,	Where in the US where you?
66,Sh,"	I lived in multiple cities so I studied at Buffalo. Then I lived in Texas for some time. I lived in Indiana, Indianapolis thats like closer to Chicago. Those are the major cities I lived in. "
67,M,"	Oh, amazing. Well, how long were you in the US for?"
68,Sh,	So I went there in 2013. So from 2013 – 2018 I lived there. 
69,M,	Professional background? what type of work do you do?
70,Sh,	So I’m into software consulting. 
71,M,	And are you currently working within your professional fields as well? 
72,Sh,	Yes
73,M,	And how long I mean did you plan on consider your migration prior to move to Canada?
74,Sh,"	So I would say, like, six months. That’s what it took me for moving to Canada, like I had to do the IELTS exam, then create my express entry profile and submit all the documents. Once I had my profile, it took me 2 and a half months for the final approval. And then I got my PR cards. Then I moved here in Feb 2018 so for the initial six months I was still going to the US for work, like I’d go on Monday and come back on Thursday. Yeah so I was still doing that for like six months but from October last year, I got a full time job in Toronto so im based here. "
75,M,"	Right. And like couldn't I mean, was there other pathways for you apart from getting the green card? I mean, like, could you just continue working?"
76,Sh,"	Yeah, I could have continued working there on work visa but there are a lot of restrictions on the work visa. Like, when you're switching from one company to another company, you need to redo the process again. They are increasing their timelines for giving you approval for your work visa. And then like, if your visa is expired, your driving license expires as well so there are a lot of implications that comes when your expires. And then my wife, she did Masters in US as well. Unfortunately her visa was not fit for H1B so she had to quit her job. So she was on a student visa and she was working on her student visa. But she was not from stem background. So she gets only like one attempt at H1B and her visa was not in the lottery. So they have like, I think they allocate 5000 visas, and they’re like 250k people that apply for them, Right? So like one out of to get like 40% john 30% chance that will be picked in the lottery. So it's not skill based. It's actually lottery based. Yeah its luck based. So she did her Masters. But she couldn’t get a work visa. "
77,M,"	But she could still be on your visa, though. "
78,Sh,"	Yeah like she could still be in the US but she could not work. And so that was the main driving factor because I had work visa till like 2022, so I could have stayed and kept living. I had a good job, reasonable, well paying job but then we decided to move to Canada just to feel more stable and secure in our head…And of course, my wife… and she landed a job as a we got here as well. She’s an architect. "
79,M,"	And in terms of your family's is just you and your wife and your, "
80,Sh,"	So we just had a kid. So yeah my Mom  cameand then my brother, he lives in Charlotte, North Carolina. He did the same thing. He did his masters and now he started working there and I have a younger sister as well. She lives in Delhi. "
81,M,"	So what was the sort of family's broader role in your migration like even getting out of India for the first time for example, like were they very supportive of it what it was? "
82,Sh,"	Yeah. They were supportive. So I went out from India for work. So ofcourse, they were not paying anything and I was getting paid to move.  But then when I had to move to US, I had to take student loan.  But because I had worked in Singapore for some time, I had saved up some money for my education."
83,M,	So was that always the plan that you go to work in Singapore and then study further in the US? 
84,Sh,"	No that was not the plan. I was planning to work in India and then study in India and do my MBA in India. But then I got an opportunity to work in Singapore. So I moved there and after moving there, I realized I cannot stay here for long. Like it’s a place where you can stay for one or two years not longer than that. It’s a very small country. There are very limited job opportunities there. Salary wise, It's like, not too much and the work culture as well, Its like, I felt I cannot stay there for long...like I don’t have a long term instinct for staying here.. So what next, so that’s where the US came in. "
85,M,"	Now in terms of here in Canada, do you have any friends family or community here?"
86,Sh,"	So I have mu childhood friends who moved from India to Canada. So I have few of those and then I have some distant family, and my wife has her friend circle. So, they helped us in settling here but for decision making not…It's because I mean, we, we did our own research... we didn’t talk to them much. But once we were here, they helped us out. "
87,M,	And how long did the initial like this visa process take?
88,Sh,	Five - Six months. 
89,M,"	And finally, in terms of destinations, I suppose that you wouldn't considering Canada, could you go elsewhere?"
90,Sh,"	Canada was our top priority and that’s because it is closer to the US. So, I had that in mind like if anything didn’t work out in Canada, I could always go to the US since I had my contacts and all. Also when you become a Canadian citizen, you can work in the US on a different kind of visa. So that’s an added point as well. So yes, Canada was on the top for us. I can say it was the only priority. If not Canada, then we would go back to India. "
91,M,"	So as a Canadian citizen, you can pretty much go and work there indefinitely, right? "
92,Sh,"	Yeah. So you get something called CN work visa and you get it at the border. So you don't need to worry about the lottery and…So you can get the visa and keep on renewing it. So, it's better compared to the work visa. You’ll never get a green card on that visa but you can stay there and work there indefinitely. And its still a skills-based visa. So you need to have a certain degree and you need to work in a certain profession. Then only, they will give you that visa.  "
93,M,	So tell me about your skills now I mean like what what is what is the skills that you applied with? How do you consider yourself a skilled migrant? 
94,Sh,"	So I mainly work in IT consulting. I have like around 10 years of experience. I did my Masters.. that’s management information systems from Buffalo. State University of New York at Buffalo. So I have a Business technical consultant background. So I work both on the business side and on the technical side. So right now im working for a banking client here. So that’s where, I have my skills. "
95,M,"	So I suppose my question so I'll ask you the question and then based on the question you can map it out, right? So tell me about all the visa categories that you went through from the point of your initial departure from India to current status. "
96,Sh,"	So this is Singapore one. And then you also have from here.. the US. So that was from Singapore.. that’s the student visa. And then US work visa. So student visa for like 2 years and then you get the student related work visa which is the H1B. And then you get H1B which is 3 years and then you get a H1B extension that’s again for two years. So you get for six years but if your company files a green card for you and if you are at a certain stage for your green card, you can get it extended for n number of years. So I was in the process. I was in the middle of that process of filing my green card. So, I could have extended it for n number of years. So I would say within Green Card process. So you don't actually get the green card, but because you have crossed a certain stage in your green card process, you can extend your work visa indefinitely. So maybe just say extending it indefinitely. Then I took the permanent residency."
97,M,	So commercial services that you used in your migration journey from initial stages to even your current status. So I want you to think about between this part so this was work related so work did everything for you. So pretty much all of the processes throughout this process where you spend money?
98,M,"	And in terms of now, Canadian, PR what was some of the commercial services that"
99,you have an agent for this one?,
100,Sh,"	No, I didn't have an agent. I so this was something called Canada visa forums. So I used those forums to get all my knowledge and information. They were they helpful."
101,"We don't need an agent for Canada. So they have a whole process. So first I need to give the IELTS exam and then I had to get my degrees verified from WES – both for me and my wife. So that was the pre, the process before I applied. Once I got selected in the express entry... So, you get a particular NOC code so you apply in a particular code. So probably that's where my skill came into picture. I was able to apply in I think software consulting code or something like that and I also got nomination from Ontario. But I didn't have to use it because I already had submission points. But that's again based on the NOC code that I had applied into. I had like 478 points. So I didn't have to use but Ontario wanted to give space based on your NOC code, so they did give it to me. but that's a longer process. And I had enough points without PNP. So, there was more that I had to spend here. We had to show money, we had to do medicals, ",
102,M,	And this point [US work visa] was your wife with you as well. 
103,Sh,"	No - she was in India. It was a typical arranged marriage. But she took the student visa. So she studied in the US as well and I invested in her study, so that's a whole different process. She came as my dependent. Then she switched to student visa. And then she was applying to apply for US work visa. So I was on h1 and so she came on H4 dependent visa. And then switched to F1 student visa. So F1 and then she again, switched to my H4 because she didn't get the h1B. So after H1, theres something called the OPT visa. So you can work for… so that's like a student work visa. OPT. So if you are from a technology background, you get it for three years. But if you are like an MBA or architect in her case, you get it for one year. So if your course is not part of STEM courses, you get it for one year. Otherwise you get it for three years. So, she got it for one year. That's why she was able to work with us for a year after graduating."
104,M,"	And what does this h4 dependent process have? Like you must show some paperwork there too, right? "
105,Sh,"	Yeah but that was handled by company. Typically, h1 visa is handled by your company they do all the paperwork. I mean, they of course ask you documents, but then they have their own attorneys and lawyers who take care of submitting and everything. Student visa is you but work visa, your company does everything. They need to file on your behalf. "
106,M,"	I mean, the initial student visa would have been the main process for your wife"
107,Sh,"	So we did the same thing like hired a consultant back in India again, again, and she was in India when we were doing this process. So you give your GRE, you give your TOEFL. So she had to go through thw whole thing and again applying in multiple universities and then you get an admit. Like I've lived in so many cities, Toronto is where I can say okay, this is such a good diverse city. I really like it actually. It's very, very nice. Like, we were married for like four years in US. But we had a baby only when he moved to Toronto just in last one years because we feel like this is a place where we can settle down. "
108,M,"	Really? Wow, that's interesting. So, what is it about this place that makes you feel that way?"
109,Sh,"	Its so open. Like I’m a Muslim. I was fasting I went to my office. The white guy in my office… I told him I am fasting… the white guy in my office. He kept his chips bag in his bag. So that was like new to me. Like in US no one knew about it. What is it about…what I'm doing? But here I could be myself and still I would be accepted. I think the diversity aspect. People know here. They have grown up with with diverse people. So, they are open to that. "
110,M,"	So we will move on, sorry, to the questions of this forums. And I want to know ask you about generally about technology. So tell me about the role of technology apart from your technology degree…from the initial sort of research stages to current migration status, conducting online research, resources that you used, or what sort of forums that you used social media that you used for any sort of general broad uses of technology as well."
111,Sh,"	Okay, so yeah, I mean, again, for doing research about the US universities, I did a lot of online research. I joined some Facebook groups. So those groups were, like specific to those University. So they were so it was mainly for Indian students. So Indian student organizations would be there in each university. They would interact with the aspiring candidates and help them in making a decision as well. So Indian Student Associations at universities. So they helped in settling as well. Like when you arrive at the airport, someone will come to pick you up and they will help you get a room as well. So I mean you need to pay for it but at least someone is showing up at the airport in a new city, new country at odd hours during the night, and then they give you like initial accommodation for a week. So they will arrange accommodation with another student who would keep you in your in their house for the week until you find your own accommodation. And take you around Walmart and all, help to buy stuff and help get a phone connection, everything so they actually help you during the first week. The expectation is that once you become a senior you will help other students too. So Canada visa forums is where I got most of the information from starting from how to take the IELTS exam, how to do WES degree verification. Luckily like because I did my masters in us I didn't have to get my Indian degree verified otherwise in getting my Indian degree verified would have been a big hassle…sending my documents from India to US. "
112,M,	What about like a regulatory stuff like police checks and stuff? 
113,Sh,"	Oh, yeah. So that was part of post ITA… like when we did our medical. We had to get police check done from India, Singapore and US. So, for my wife India and US. For me, India, Singapore and US. That process was fine for India like we had to write to Chicago to the Indian embassy and we got it in a day.  For Singapore I had to send my fingerprints to Singapore for verification. For US it was a lengthy process... not a lengthy process but it was time consuming …took me three months to get my FBI check from US. So, from Singapore and India, it was quicker but from US it took a lot of time because that's how their process is. So they take you fingerprints and then they give a report saying all clear or something. "
114,M,"	So actually, I think I'll try back a little bit. Why not? Why did you have to go and study in the US? Like, why didn't you want to do your masters in India? "
115,Sh,"	So the thing was, you know, to get in a good MBA college, for example, in India, there's so much competition there. It's difficult to get it. So, getting a university admit for US was much easier than getting a university admit in India, because there's so much competition. They have something called quota system, so that pulls you down as well. If you are not in quota, then you have like limited number of seats that you can applying to in general category, you have like 30-40% of seats that you can apply for and the quota is restricted for minority caste. Its not based on your religion, its based on your caste. So if you belong to a certain caste, like schedule caste, then you get into it and that pulls you down as well because most of the seats in government colleges are reserved, and even jobs and jobs as well for government offices you have that reservation. So, so for general category, you have a limited number of seats, and so much competition like everyone is doing Engineering or something like that, and then everyone wants an MBA. So IIMs are for MBA and IITs are for IT. So to get an admit in the top 30 Universities in India, it's like very difficult and the other thing is the return of investment. Like you spend like a lot of money in India. So those colleges are expensive. They are cheaper compared to US, but they're still like, half the fees as you pay to the US. So you pay that much amount and after that if you get a job, which is a high paying job in India, but still, it's going to take 10 years to pay that load. So you don't want to be stuck in that. In the US, okay, the fees is high but the salary is very good. So you can like pay your student loans, pretty quickly. So like, I paid my student loan in one year. So I got it the student loan from India. Yeah. So there was like 11%, 10% interest. Same for my wife as well. My wife was, it took like two years [to pay off] because hers was like a huge amount. Mine was not that high. Like for my student loan, I just put some money in a fixed deposit. But for my wife because it was like a huge amount, so we did have to like mortgage my house back in India. So, you give you a house papers to the bank. They keep it and then you need to keep paying and once you're done they will give it back. So this was my dad’s property. "
116,M,	So the role of family that you want to maybe put on your map?
117,Sh,"	For for the US as well, you need to show the money. So, yes my dad helped out with that. So you need to show a bank statement that you have tuition amount for one year for the first year. So bank statement and loan amount like loan statement that you will be getting a loan. That’s what becomes your….His bank statement and loan - they are the I'd like to two separate things. So you need to show cash as well. So we had to show a letter saying that he's he would be like, financing my studies. And then he showed his bank statement as well his salary slips as well – everything. Marriage is important…So much in migration, like they were supportive. But like, when I even came to US, I told my dad I'm going to US and quitting my job in Singapore was like, What is what are you gonna do there? I was like, study there. I told him that I got an admit for these universities and he was like okay how much?.. and I said..this much I can afford, and this much, you’ll have to help me out. So for making that decision, it was my decision, but they were supportive of it. Then tell me okay no you cant go or anything like that. Marriage did play a role. Like staying in the US, I was on work visa. My wife was in a different city. I was in a different city. She was studying in a different city which was like, six hours drive. And then she was working in a different city as well and that was a 4 our drive. So I would go on Friday and come back on Monday. So, it did, it became a task. Now were both in Toronto…we both live in the same city, we both work here. It was because of jobs and stuff. Like the city where I was, she wanted to study architecture. There was not many good universities around that area. So, we had to find her a university that was slightly far. And then for work as well. You need to work in an architecture firm which would sponsor your work visa. So they will not many forms in my city who are willing to sponsor the visa. So whatever job she got in a different city, she had to take it because they would have sponsored her work visa. I was working in Indiana. She studied in Kansas and she was working in Missouri. But they are like adjoining states but still different states. And my parents were supportive of that, her parents were supportive of that so that’s where the family came in. "
118,M,"	Okay, social connections friends, not just not family anymore but just friends or community, um, even professional networks. Have they played a role? And do you want to put them on the map?"
119,Sh,"	Yes, for example like for this Canada thing, I told Canada visa forums, but then I had few colleagues in my company who are helping me out as well. And then when I told my employer that I got a Canada PR, so they, they were supportive. They like they made me travel from Toronto to Indiana. They paid for the flight, they paid for the accommodation, they paid like $60 for food as well per day. Just so that I can stay in Toronto, and my wife can. So my employer was supportive as well. So it was Deloitte Consulting. But the salaries are not as high as US. So the salary they were offering me here in Toronto was… so it was same as in US numbers. But again, you have that Canada to US conversion, right. So I wasn't very keen about it, so I moved, I joined another company called Accenture consulting. And my company partner who I was working for. He was like you can like travel from Toronto indefinitely. You can keep on working in US and keep on staying in US till whenever you want. But I was like, No, I need to find our local job coz it’s a commute right? Like Monday I need to go to Pearson airport, and then do my immigration because I have a work with US. So every I have an immigration and every Thursday I have an immigration to come back. So like at the airport, I need to get my passport stamped every week. That’s a lot of stamps. And US they ask “Why do you want to go” and all but because they have all your trips recorded. So after a while they are fine. Like they don't ask you anything… they know. I mean, I would know the visa officer as well. They would just stamp it but then still a hassle to go, need to stand in a line to get your passport stamped and everything. "
120,M,"	So in terms of your family, are they are they happy with your migration to Canada? Would they like to come here?"
121,Sh,"	They're happy actually. So my parents came to US once. They came to Canada just now like few months back. They were helping us out with the kid and all, and they really liked it. They like it in Canada just because of the community. So I currently live in Milton. That's like, yeah, it's like too far from here. But initially when I came here for one year, I was living at Humboldt Park. So that's like very close to downtown. So that's when me and my wife are working here and now she's on mat leave. We needed to buy a house. Toronto is too expensive. So we need to move into the suburbs. The baby is 3 months old. "
122,M,"	I'm going to talk just about broad stuff. aside, so current immigration policies like do you do you keep on top of immigration policies? Are you interested in them?"
123,Sh,"	Yes, I am very on top of immigration policies basically with what's happening in the US. I have a lot of friends there who seek my advice on there will be if they want to move to Canada, they seek my advice. And I'm also helping my sister for getting her PR in Canada and my brother as well who is on US work visa. So I'm like, on top of things what's happening in US and Canada. I think the US is biased. So there's a bill that is in senate right now, which is gonna remove the country wide quota for the green cards. If that happens, then an Indian person would get the green card in the same time as someone from any other nationality. But then the catch there is like people from suppose Pakistan – right now, they get green card in 2 years, but after that, if that bill is passed, they will get it in seven years or eight years. It standardizes time so it's bad for them but good for Indian, Chinese and Filipinos. Again, like in US the visa is based on lottery. It should be based on your profile. Like in Canada, they give points to your profile based on your work experience, your education, your age, and all that but in US it is still lottery. I think they were saying that theyre gonna make the green card based on your skills and your profile. But no, right now it is not. It's more of family based. So, if you have your brother is there, you can sponsor your dad for green card. Not like in Canada… like Canada you have like a proper express entry and a proper points-based system. Im in favor of the point the system because it gives an equal opportunity to everyone. Not just because you have your relatives here, you're getting a residency. Someone like me, who didn't have anyone here but still I got it so easily. It was because of this express entry point system. No [other countries considered].. It's just because I was aware of the American lifestyle, North American lifestyle. If I had to go in Australia, I had to start it from zero again, understand how jobs, things work, everything I have to start from scratch. But for moving to Canada it was just like putting my stuff in my car and then crossing the border. I drove. So it was like pretty easy compared to if I had to move to Europe or... Like I have my cousins who studied in France and are living in different cities in Europe. I think life in Canada is easier than what we are facing there because it's English here…language thing… like France and all you need to learn French and then it's difficult to learn at this age. With Canada also, I didn’t consider any other city because this is where you have most jobs. So right now, Im working with financial clients and a lot of times they have their offices in Toronto. "
124,M,	And I suppose now we can go in terms of your migration advice that you're giving your family and friends or do you actually actively helping them with the process? Are you involved in broader sort of forums kind of stuff as well? 
125,Sh,"	Not in forums. But I like, theres a lot of colleagues back in the US who Im helping with their PR stuff. I have friends in India who I'm helping, but not on forums, its like a lot of personal advice rather than giving consultancy. I mean, they already made the call that they want to come to Canada and just helping them out in the process and all and then telling them the pros and cons of coming here because there are a lot of cons as well. Like if you don't get a job, then it's a really expensive to stay. Youll be out of your money like pretty soon. So the job thing is amazing, I mean, once you get a decent paying job, its great. I mean, it took me like two weeks because I had a North American degree and its IT consulting right? For my wife as well actually. She gave an interview when we moved to Toronto and then she got her job. Just if she would have been coming from India, like my sister will be coming from India, it will be a lot tougher. Because you're already in North America. I think that helps. "
126,M,	I suppose now in terms of sponsoring your family that you are helping your sister. What about your parents?
127,Sh,	They won’t move here. They will stay back. They will come here for vacation but then go back. 
128,M,	And what's your connection to India like and I do want to go there every year?
129,Sh,"	I go there every year. Like my wife, she'll be going there in November and stay there for like, three, three months. So yeah, we make a point that we go there every year, sometimes twice in a year as well. "
130,M,"	And finally, I suppose I want to talk to you more about like, even looking at the map, what are the biggest sort of obstacles and challenges that you faced throughout your journey throughout? "
